お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
rdlRepairTxt,Block Info [radial],Used for repairing devices and building blocks,デバイスやビルディングブロックの修理に使用,
rdlResourceMining,Block Info [radial],Resource Mining,資源採掘,
rdlResourceMiningManualTxt,Block Info [radial],Used for removing terrain and mining ores. Drill does not pick up ores automatically,地形の除去や鉱石採掘のために使用されます。 鉱石は自動収集されません,
rdlResourceMiningTxt,Block Info [radial],Used for removing terrain and mining ores. Drill automatically picks up ores,地形の除去や鉱石採掘のために使用されます。 鉱石は自動収集されます,
rdlStoneRemoval,Block Info [radial],Stone Removal,岩石破壊,
rdlStoneRemovalManualTxt,Block Info [radial],Used for removing large stones and mining ores. Drill does not pick up ores automatically,大きな石の除去や鉱石採掘のために使用されます。鉱石は自動収集されません,
rdlStoneRemovalTxt,Block Info [radial],Used for removing large stones and mining ores. Drill automatically pick up ores,大きな石の除去や鉱石採掘のために使用されます。鉱石は自動収集されます,
rdlTerrainRemoval,Block Info [radial],Terrain Removal,地形の除去,
rdlTerrainRemovalTxt,Block Info [radial],Used for fast removal of terrain. Using this mode does not mine ores,地形の迅速な除去に使用されます。 このモードを使用しても鉱石は採掘できません,
rdlUpgrade,Block Info [radial],Upgrade,アップグレード,
rdlUpgradeTxt,Block Info [radial],Used for upgrading devices and building blocks. Block must have full hitpoints in order to be upgradeable.,デバイスやビルディングブロックのアップグレードに使用されます。 アップグレードするには、ブロックが完全に直っている必要があります。,
biwInputItems,Block Info Window [biw],Input Items:,作成に必要なアイテム,
biwOutputCount,Block Info Window [biw],Output Count:,出力数:,
AlienPalmTreeStage1,Block Plant,Space Orange - Sprout,スペースオレンジ - 苗,
AlienPalmTreeStage2,Block Plant,Space Orange - Growing,スペースオレンジ - 成長中,
AlienPalmTreeStage3,Block Plant,Space Orange - Harvestable,スペースオレンジ - 収穫可能,
AlienPalmTreeStage3NoFruit,Block Plant,Space Orange - Pre-Harvest,スペースオレンジ - 収穫前,
AlienPepperStage2,Block Plant,Durian - Growing 1,ドリアン - 成長中1,
AlienPepperStage3,Block Plant,Durian - Growing 2,ドリアン - 成長中2,
AlienPepperStage4,Block Plant,Durian - Growing 3,ドリアン - 成長中3,
AlienPepperStage5,Block Plant,Durian - Harvestable,ドリアン - 収穫可能,
AlienPepperStage5NoFruit,Block Plant,Durian - Pre-Harvest,ドリアン - 収穫前,
AlienPlantTube1Stage3,Block Plant,Ahax Plant - Harvestable,アハックス - 収穫可能,
AlienPlantTube2NoFruitStage,Block Plant,Ahax Plant - Pre-Harvest,アハックス - 前収前,
AlienPlantTube2Stage1,Block Plant,Ahax Plant - Sprout,アハックスの苗,
AlienPlantTube2Stage2,Block Plant,Ahax Plant - Growing,アハックス - 成長中,
AlienplantWormStage1,Block Plant,Alien Honey Plant - Sprout,エイリアンハニーの苗,
AlienplantWormStage2,Block Plant,Alien Honey Plant - Growing,エイリアンハニー - 成長中,
AlienplantWormStage3,Block Plant,Alien Honey Plant - Harvestable,エイリアンハニー - 収穫可能,
AlienplantWormStage3Harvested,Block Plant,Alien Honey Plant - Pre-Harvest,エイリアンハニー - 収穫前,
BulbShroomStage3,Block Plant,Textured Plant Protein - Harvestable,プロティン - 収穫可能,
BulbShroomYoungStage1,Block Plant,Textured Plant Protein - Sprout,プロティン - 苗,
BulbShroomYoungStage2,Block Plant,Textured Plant Protein - Growing,プロティン - 成長中,
BulbShroomYoungStage3,Block Plant,Textured Plant Protein - Pre-Harvest,プロティン - 収穫前,
CornStage1,Block Plant,Corn - Sprout,トウモロコシの苗,
CornStage2,Block Plant,Corn - Growing,トウモロコシ - 成長中,
CornStage3,Block Plant,Corn - Harvestable,トウモロコシ - 収穫可能,
DesertPlant20Stage1,Block Plant,Aloe Vera - Sprout,アロエベラの苗,
DesertPlant20Stage2,Block Plant,Aloe Vera - Growing,アロエベラ - 成長中,
DesertPlant20Stage3,Block Plant,Aloe Vera - Harvestable,アロエベラ - 収穫可能,
ElderberryStage1,Block Plant,Akua Berry - Sprout,アクアベリーの苗,
ElderberryStage2,Block Plant,Akua Berry - Growing,アクアベリー -成長中,
ElderberryStage3,Block Plant,Akua Berry - Harvestable,アクアベリー -収穫可能,
ElderberryStage3NoFruit,Block Plant,Akua Berry - Pre-Harvest,アクアベリー -収穫前,
InsanityPepperStage1,Block Plant,Space Kavae - Sprout,スペースカヴァーの苗,
InsanityPepperStage2,Block Plant,Space Kavae - Growing,スペースカヴァー - 成長中,
InsanityPepperStage3,Block Plant,Space Kavae - Harvestable,スペースカヴァー - 収穫可能,
InsanityPepperStageNoFruit,Block Plant,Space Kavae - Pre-Harvest,スペースカヴァー - 収穫前,
PearthingStage1,Block Plant,Pearthing - Sprout,洋なしの苗,
PearthingStage2,Block Plant,Pearthing - Growing 1,洋ナシ - 成長中1,
PearthingStage3,Block Plant,Pearthing - Growing 2,洋ナシ - 成長中2,
PearthingStage4,Block Plant,Pearthing - Harvestable,洋ナシ - 収穫可能,
PearthingStage4NoFruit,Block Plant,Pearthing - Pre-Harvest,洋ナシ - 収穫前,
PlantDead,Block Plant,Dead Plant (small),枯れたプラント (small),
PlantDead2,Block Plant,Dead Plant (large),枯れたプラント (large),
PumpkinStage1,Block Plant,Pumpkin - Sprout,カボチャの苗,
PumpkinStage2,Block Plant,Pumpkin - Growing,カボチャ - 成長中,
PumpkinStage3,Block Plant,Pumpkin - Harvestable,カボチャ - 収穫可能,
PumpkinStage3NoFruit,Block Plant,Pumpkin - Pre-Harvest,カボチャ - 収穫前,
SnakeweedStage1,Block Plant,Fiber Plant - Sprout,ファイバーの苗,
SnakeweedStage2,Block Plant,Fiber Plant - Growing,ファイバ - 成長中,
SnakeweedStage3,Block Plant,Fiber Plant - Harvestable,ファイバ - 収穫可能,
TomatoStage1,Block Plant,Tomato - Sprout,トマトの苗,
TomatoStage2,Block Plant,Tomato - Growing 1,トマト - 成長中1,
TomatoStage3,Block Plant,Tomato - Growing 2,トマト - 成長中2,
TomatoStage4,Block Plant,Tomato - Harvestable,トマト - 収穫可能,
TomatoStage4NoFruit,Block Plant,Tomato - Pre-Harvest,トマト - 収穫前,
WheatStage1,Block Plant,Wheat - Sprout,小麦の苗,
WheatStage2,Block Plant,Wheat - Growing,小麦 - 成長中,
WheatStage3,Block Plant,Wheat - Harvestable,小麦 - 収穫可能,
blkChooseShape,Block Shape Tool [blk],Choose Shape,図形を選択してください,
SpawnNewBase,Block Starter,Base Starter,ベース・スターター,
SpawnNewCV,Block Starter,Capital Vessel Starter,ＣＶスターター,
SpawnNewGV,Block Starter,Hover Vessel Starter,ＨＶスターター,
SpawnNewSV,Block Starter,Small Vessel Starter,ＳＶスターター,
bpdFlatten,Blueprint Dialog Box [bpd],Blueprint Flattens Ground,設計図を平らに設置,
bpdGrounding,Blueprint Dialog Box [bpd],Blueprint Ground Offset,設計図オフセット設置,
bpdGroup,Blueprint Dialog Box [bpd],Blueprint Group Name,設計図のグループ名,
bpdName,Blueprint Dialog Box [bpd],Blueprint Spawn Name,設計図スポーン名,
bplBlueprints,Blueprint Library [bpl],Blueprints,設計図,
bplBlueprintTitle,Blueprint Library [bpl],BLUEPRINTS,設計図,
bplCompleted,Blueprint Library [bpl],Completed,完成しました,
bplUnlockLevel,Blueprint Library [bpl],Unlock Level:,アンロックレベル,
bpwGroupName,Blueprint Library Window [bpw],Group Name,グループ名,
bpwSaveDamageState,Blueprint Library Window [bpw],Save Damage States,ダメージ状態を保存する,
bptypeInternal,Blueprint Type [bp],Internal,内部,
bswMerge,Build Settings Window [bsw],Connect To,に接続,
bswNone,Build Settings Window [bsw],None,なし,
bswRedo,Build Settings Window [bsw],Redo,やり直し,
bswShowAirtight,Build Settings Window [bsw],Show Airtight Blocks,気密エリアを表示,
bswShowCOM,Build Settings Window [bsw],Show Center of Mass,質量の中心を表示,
bswShowOxygen,Build Settings Window [bsw],Show Oxygen,酸素を表示,
bswShowSI,Build Settings Window [bsw],Show Structural Integrity,構造の安全性を表示,
bswSymmetry,Build Settings Window [bsw],Symmetry Plane:,対称面:,
bswTitle,Build Settings Window [bsw],Building Tools,構築ツール,
bswUndo,Build Settings Window [bsw],Undo,Undo,
bswXY,Build Settings Window [bsw],XY,XY,
bswXZ,Build Settings Window [bsw],XZ,XZ,
bswYZ,Build Settings Window [bsw],YZ,YZ,
btn_CHAPTYPE_Activate,Button [btn],Activate {0},{0}を有効にする,
btn_CHAPTYPE_Deactivate,Button [btn],Deactivate {0},{0}を無効にする,
btnAbortOffer,Button [btn],Abort Offer,オファーを中止する,
btnAbortProduction,Button [btn],Abort Production,生産を中止,
btnBpFactory,Button [btn],Factory,ファクトリー,
btnBpLibrary,Button [btn],Library,ライブラリー,
btnBuy,Button [btn],Buy,購入,
btnCancel,Button [btn],Cancel,キャンセル,
btnClaimAll,Button [btn],Claim All,すべての申し立て,
btnClaimCredits,Button [btn],Claim Credits,クレームクレジット,
btnContinue,Button [btn],Continue,持続する,
btnCopy,Button [btn],Copy,コピー,
btnCreateOffer,Button [btn],Create Offer,オファーの作成,
btnDefrag,Button [btn],Compress,圧縮する,
btnDifficulty,Button [btn],Difficulty,難易度の設定,
btnFactionMissions,Button [btn],Team Missions,チーム・ミッション,
btnFAQ,Button [btn],Knowledge Base,参考資料,
btnForSale,Button [btn],For Sale,販売中,
btnLetsGo,Button [btn],Let's go!,始めよう！,
btnOpenWorkshop,Button [btn],Open Workshop,ワークショップを開く,
btnOverwrite,Button [btn],Overwrite,上書き,
btnPending,Button [btn],Pending,保留,
btnPublish,Button [btn],Publish,パブリッシュ,
btnPublishScenario,Button [btn],Publish new\nScenario,公開\nシナリオ,
btnQuitAndMail,Button [btn],Quit & Mail,終了＆メール,
btnRecent,Button [btn],Recent,直近,
btnRemoveCode,Button [btn],Remove Code,コードを削除,
btnRevert,Button [btn],Revert,戻します,
btnSave,Button [btn],Save,セーブ,
btnSaveAs...,Button [btn],Save as...,名前を付けて保存...,
btnSell,Button [btn],Sell,販売,
btnSendEmail,Button [btn],Mail & Cont.,メール＆継続,
btnSet,Button [btn],Set,セット,
btnShowBriefing,Button [btn],Show Briefing,ブリーフィング詳細,
